id,Fund,Fiscal_Year,State,County,latitude,longitude,Sponsor,Project,DHEC Project Number,Project Description,SC Water System ID Number,Total Project Cost Estimate,Estimated SRF Loan Amount,Estimated Principal Forgiveness Assistance 1,Estimated Green Project Reserve Amount 2,Sponsor's Service Population,Population Affected by Project,Total Points,Note
172,DWSRF,2024,South Carolina,Anderson,34.57699926,-82.71934723,Anderson Regional Joint Water System,Clemson Booster Station 5 MG Ground Storage Tank Addition,0420011-07,"The Ground Storage Tank project will consist of a 5MG water storage tank which will provide reliable water capacity to eight (8) water districts and municiplaities in Anderson and Pickens counties while allowing plant operations to conserve power costs. Additionally, ARJWS has trouble meeting peak hour needs when the City of Clemson and Clemson University experience massive increases in population during Clemson Football events. This problem will only intensify and become more common as the university expands and the cities served by the Lake Hartwell plant grow. Eventually, the plant will have to undergo a major expansion or a new plant will need to be built, but in the meantime, the construction of additional storage capacity is a cost-effective way to help remedy this problem.",420011,"$8,820,000",700000,$                   -,,220000,220000,20,Base Capitalization
173,DWSRF,2024,South Carolina,Chester ,34.70702115,-80.86962666,Chester Metropolitan District,Hemphill Water Treatment Plant Renovation Project,1220002-02,Improvements at the Hemphill WTP,1220002,"$16,893,610",5506000,$                   -,,14739,14739,20,Base Capitalization
174,DWSRF,2024,South Carolina,Beaufort ,32.20263775,-80.73400883,Hilton Head Public Service District,Water System Improvements3,0720006-07,"Water system improvements include an expansion of the RO WTP from 4 mgd to 6 mgd, new RO production well, new ASR well, replacement of a booster pump station, and installation of a generator.",720006,"$18,700,000",2589929,$                   -,,25500,25500,20,Base Capitalization
175,DWSRF,2024,South Carolina,Aiken,33.5605591,-81.72038376,Aiken,Southside Elevated Tank and Waterlines3,0210001-04,"Construct a new elevated water tank and associated lines on the southside of town to reduce water loss, increase life of distribution system appurtenances, better understand area demands, and have a more automated system operations.",210001,"$15,000,000",5000000,$                   -,,26500,15000,20,Base Capitalization
176,DWSRF,2024,South Carolina,Orangeburg ,33.49826858,-80.85813944,Orangeburg,Residuals & Water Plant Improvements Project,3810001-03,"The project is located at the ODPU John F. Pearson Water Treatment Plant, 395 Seaboard St NW, Orangeburg, SC 29115. Work will be at the WTP, at the WTP lagoon, and a portion of proposed force main that will extend approximately 2,000 feet to connect to existing sewer. Residuals Piping: New sludge collector drain piping to separate alum sludge, new alum sludge pump station, and new force main to existing sewer off site.
Chemical Storage: Remove existing sodium hydroxide storage and feed system, add lime slurry storage tank and transfer pump.
Backwash Pump: Augment existing backwash pump capacity and create one redundant pump.
Alum Sludge Lagoon: Collection, removal, dewatering, and
disposal of alum solids.",3810001,"$12,145,000",11500000,$                   -,,49000,49000,20,Base Capitalization
177,DWSRF,2024,South Carolina,Richland ,33.87737519,-80.69463077,Eastover,Drinking Water Well Fixed Emergency Generators,4010002-01,The proposed project would include the purchase and installation of two fixed emergency generators for the town's water supply wells.,4010002,"$200,000",$                     -,200000,,813,813,135,General Supplemental
178,DWSRF,2024,South Carolina,Marlboro ,34.62286944,-79.68382359,Bennettsville,Lime Chemical Feed Systems and Roof Repairs for CIO2 Building,3410001-04,The proposed project includes lime chemical feed systems to replace the City's old caustic feed systems and roof replacement for the chlorine dioxide building. The new lime chemical feed system would correct their problem with low alkalinity at the surface water plant. The low alkalinity caused the City to violate turbidity requirements resulting in a consent order in 2019. The project will also include a charge analyzer to assist WTP staff in identifying proper coagulant dosage and pH during rapidly changing water quality conditions. The City has a different WTP Superintendent from the one that was at the WTP back in 2019. The new Superintendent understands the benefit to moving to a lime feed system to aid in the operation of the WTP. The lime feed system at Lyall Street would ensure compatible water in the system.,3410001,"$2,745,650",$                     -,921940,,9100,9100,125,General Supplemental
179,DWSRF,2024,South Carolina,Bamberg,33.31361672,-81.10489152,Bamberg County,Elevated Water Tank Rehabilitation,0510002-03,"The Bamberg County Industrial Park Tank is located at the end of Industrial Road in the Airport Industrial Park, adjacent to an industrial building and a short distance from the Bamberg County Airport, a regional airport facility. The area is a short distance from Heritage Highway (US Hwy 78) between the towns of Bamberg and Denmark.",510002,"$581,500",$                     -,581500,,3500,3500,95,General Supplemental
180,DWSRF,2024,South Carolina,Florence ,33.97074855,-79.74767852,Coward,Coward Water Improvements Old Georgetown Rd,2110012-02,"The Old Georgetown Road project will connect two dead-end water mains, enabling the Town to provide safe, reliable drinking water to approximately 153 existing homes in the area that are currently without public water service. This project will include the installation of approximately 31,756 LF of 8"" water mains and 1,978 LF of 2"" water mains. This loop will help with system stability and improve flow and pressure conditions on the existing system, thereby also improving water service for all existing water customers.",2110012,"$1,873,746",$                     -,1500000,,2289,2681,70,General Supplemental
181,DWSRF,2024,South Carolina,Clarendon ,33.89015031,-80.0148204,Turbeville,Puddin Swamp Road Water Main Extension/Looping,1410004-01,"The projects consists of an extension of the Town's water system to provide an interconnection with the existing 10"" water main along US Hwy. 378 with an existing 4"" or 6"" water main along SC Hwy. 58 (Shiloh Road). The water main would extend along Puddin Swamp Road and include an additional loop to serve S-14-521. The total project includes approximately 11,475 linear feet of 8"" water main, 300 linear feet of 10"" HDPE horizontally directional drilled water main, 11 fire hydrants, approximately 41 service connections and miscellaneous items such as pavement repairs.",1410004,"$1,015,000",$                     -,941400,,1680,3180,30,General Supplemental
182,DWSRF,2024,South Carolina,Charleston ,33.00976312,-80.15702332,Lincolnville,Downtown Water System Upgrades,1010007-01,"The town of Lincolnville's aging water system is no longer able to meet the needs of the town's residents and commercial customers. The water lines and other system components are at the end of their life expectancy. The town is also experiencing growth with a 27% increase in population between 2000 and 2020. As part of the mapping effort of the SC Rural Water Association, that agency also helped the town identify the areas within the town's system in greatest need. It is proposed to replace/upgrade the water distribution lines in the most critical need. Additional lines will follow in the future as funding  becomes available.",1010007,"$1,500,000",$                     -,1500000,,1147,250,30,General Supplemental
183,DWSRF,2024,South Carolina,Aiken,33.50570176,-81.86942398,Bath Water and Sewer District,Town of Bath 2023 Water System Improvements Project,0220003-01,"Funds will be used to replace an existing 8-inch water line on Minter Street on the north and south side of U.S. 421 including a jack and bore, valves, hydrants, and service reconnections.
The Town also wishes to replace cast iron pipes under railroad crossings.  Finally, the Town wishes to loop the water system on the north side of the railroad tracks for better water circulation, fire protection, and to provide redundant water connection points under the railroad tracks.",220003,"$1,500,000",$                     -,1500000,,630,630,30,General Supplemental
184,DWSRF,2024,South Carolina,Lexington ,33.76598558,-81.25070682,Pelion,Pelion - Main Street Water Main Replacement,3210010-01,"The Main Street Water Main Replacement Project will consist of the replacement of approximately 3,800 LF of 6” water main, four fire hydrants and sixteen water services.  It is proposed that the new main will be upsized to 10” in diameter.  When the interconnect was made with the Commission, the main feed point to the Town was modified.  This increase in pipe size will allow for system flow improvement through the town to account for this change in hydraulics.   In addition, this upsize will improve fire flows within the Town (most significantly to the four schools).",3210010,"$950,000",$                     -,950000,,1100,100,30,General Supplemental
185,DWSRF,2024,South Carolina,Cherokee ,35.12163643,-81.51615921,Blacksburg,Main Street Line Replacement and Grover Booster Pump,1110002-02,"The water line proposed for replacement is nearly 50 years old, undersized and primarily composed of cast iron pipe with lead joints and an extensive repair history. Currently, there is not sufficient isolation valves within town and as a result during breaks and repairs, many customers are without water until repairs are completed. Funds will be used towards construction costs associated with the replacement of the Town's central waterline on Hwy 29 (Main Street) as well as the installation of a booster pump, to improve water pressure in the extremities of the Town of Blacksburg’s water system.",1110002,"$2,200,000",$                     -,1500000,,4488,4488,30,General Supplemental
186,DWSRF,2024,South Carolina,Georgetown,33.40556722,-79.2869227,Rural Community Water District of Georgetown County,Brick Chimney Road Well,2220001-01,"The proposed new groundwater well would be a 500 GPM well on the western side of the system. This will provide redundancy and a second source of drinking water within the western portion of the system should there be a pipeline break that disconnects the northern and western service areas. With the installation of this well, the western part of the system will have adequate capacity.  An existing water main is located adjacent to this site to connect the new well to the western portion of the system.",2220001,"$1,300,000",$                     -,1300000,,4854,4854,25,General Supplemental
187,DWSRF,2024,South Carolina,Anderson ,34.34079897,-82.67888165,Starr-Iva Water & Sewer District,Water System Improvements,0420005-03,The project includes replacement of various aging infrastructure to address capacity and resiliency while supporting future economic growth opportunities and extension opportunities for unserved portions of the Starr-Iva service area.,420005,"$10,595,000",$                     -,500000,,8688,8688,25,General Supplemental
188,DWSRF,2024,South Carolina,Aiken ,33.44466201,-81.86692951,Beech Island Rural Community Water and Sewer District,Beech Island Avenue Water Line,0220004-01,"This project consists of a water line replacement and upgrades on Beech Island Avenue. The entity has old asbestos-cement water lines on large transmission lines which are most susceptible to breaks. The water line on Beech Island Avenue from Tank 1 to Atomic Road currently moves nearly 700 gpm of water and supplies roughly half of the water to Kimberly Clark (Largest Industry) and all the water to the west and northwest portion of Town. Unfortunately, this line is a brittle asbestos- cement line that is sensitive to flow changes and pressure spikes. If this line breaks, Beech Island will have difficulty supplying water to these customers. The existing 8-inch asbestos cement line should be replaced with a new 12-inch water line.",220004,"$1,998,015",$                     -,1500000,,8051,8051,25,General Supplemental
189,DWSRF,2024,South Carolina,Horry ,33.77413013,-79.01888945,Grand Strand Water & Sewer Authority,Bull Creek SWTP Expansion3,2620004-30,"Expand WTP to 60 MGD through additional equipment and piping modifications, including a new 36-in raw water transmission line into the plant.",2620004,"$38,636,000",24612000,$                   -,,316000,316000,20,General Supplemental
190,DWSRF,2024,South Carolina,Aiken,33.5605591,-81.72038376,Aiken,Shaws Creek Water Treatment Plant3,0210001-03,The replacement of the Shaw’s Creek WTP on the Northside to ensure that the water service can continue uninterrupted and to meet the increasing demands required to provide safe clean drinking water. The existing water plant has been in operation for almost seven decades and has reached the end of it service life.,210001,"$72,600,000",27000000,$                   -,,21000,21000,20,General Supplemental
191,DWSRF,2024,South Carolina,Horry ,33.77413013,-79.01888945,Grand Strand Water & Sewer Authority,Conway Parallel Transmission Main3,2620004-28,24 inch PVC transmission main from Bull Creek SWTP to the Conway BPS.,2620004,"$24,250,000",20238000,$                   -,,316000,316000,10,General Supplemental
192,DWSRF,2024,South Carolina,Columbia,34.09548648,-81.22423933,Batesburg-Leesville,Finished Water Supply to Batesburg - Leesville from JMWSC2,3210002-04,The existing source for the Town of Batesburg-Leesville has PFOS and PFOA levels above the proposed regulatory limits according to sampling performed in 2020.  The source from JMWSC (West Columbia Lake Murray WTP) has PFOS and PFOA levels that are lower.,3210002,"$17,100,000",$                      -,4250000,,7800,7800,95,Emerging Contaminants
193,DWSRF,2024,South Carolina,Marlboro ,34.71953841,-79.84151567,Wallace Water Company,Replacement Groundwater Well2,3420002-01,"The project will consist of the drilling and development of a new groundwater well to replace an existing well on Gainey Avenue which has elevated concentrations of PFAS. It is one of the highest concentrations found in South Carolina to date with a PFOA of 32ng/L and PFOS of 17ng/L. Cost of treatment of the water produced by the well is believed to be greater than cost of replacement of the well. Wallace Water Company is in the process of drilling a fifth well in another part of their system but it is not known yet if the water quality will meet current regulations, nor if the capacity will be comparable to that of Well No. 1.",3420002,"$566,000",$                      -,566000,,2928,2928,90,Emerging Contaminants
194,DWSRF,2024,South Carolina,Saluda ,34.00523786,-81.77229379,Saluda County Water & Sewer Authority -,Emerging Contaminant Treatment System2,4120001-03,"This project will include the addition of powdered activated carbon into the treatment process. This will involve a new powder activated carbon tower (PAC) located prior to the headworks, with a 400 gallon stainless steel mix tank and all other necessary appurtenances.",4120001,"$525,000",$                      -,525000,,5850,5850,85,Emerging Contaminants
195,DWSRF,2024,South Carolina,Florence,34.18366437,-79.77392906,Florence,Pee Dee Regional WTP Advanced PFAS Treatment Study2,2110001-06,"A study, and subsequent pilot testing, will be conducted to determine which process is recommended for the Pee Dee WTP. This study will involve pilot testing one or more of the technologies. This would allow the City to make informed choices during the design of the current expansion to enable integration of any advanced PFAS treatment process (e.g., placement of tees with blind flanges in yard piping, allocation of appropriate space). This would also allow the City to determine a cost-effective phased plan of improvements to comply with upcoming PFAS and other emerging contaminant regulations.",2110001,"$500,000",$                      -,500000,,136504,136504,80,Emerging Contaminants
196,DWSRF,2024,South Carolina,Lexington ,33.94113086,-81.07772003,West Columbia,Riverside Water Treament Facility Filtration Upgrades2,3210004-04,"Generally the project includes upgrading the facilities 6 dual media gravity filters with new underdrains, cemetious wall coatings, and granular activated carbon. Work will replace aging Leopold underdrains with new restrain compatible blocks and media retainers while adding granular activated carbon to address EPA's proposed MCL's for PFAS.",3210004,"$3,200,000",$                      -,3200000,,110000,21000,80,Emerging Contaminants
197,DWSRF,2024,South Carolina,Anderson ,34.51618256,-82.38361167,Belton-Honea Path Water Authority,Water Treatment Plant Improvements2,0410011-04,This project includes upgrades to the water treatment plant to improve treatment performance and remove emerging contaminants (PFAS). Please see the attached narrative for additional information about the project description and community needs for the project.,410011,"$3,250,000",$                      -,2752000,,2277,17389,20,Emerging Contaminants
198,DWSRF,2024,South Carolina,Charleston ,32.78646196,-79.93689522,Charleston Water System,Charleston Water System Lead Service Line Replacement2,1010001-08,"The removal and replacement of known lead services lines in the distribution system with no record of previous renewals and in areas below the SC median household income (MHI) level. Replacement project will include new service taps at the distribution mains, installation of new copper service lines from the distribution main to the customer premise, the replacement of the private service line to water inlet of the structure, distribution of lead safe filter pitchers to all affected households, and all necessary site restoration including landscaping and road work.",1010001,"$33,929,743",3483148,3346555,,450000,3416,80,Lead Service Line Replacement
199,DWSRF,2024,South Carolina,Florence,34.18366437,-79.77392906,Florence,Service Line Replacement in North Florence for Lead and Copper Rule2,2110001-05,The City is proposing to replace the service lines for homes that have been identified in North Florence (illustrated on attached map) that were built prior to November 1988.  These homes were identified based on when the water account was opened.  A low-to-moderate income (LMI) map of these areas is included.  In addition the City is proposing to add the replacement of the galvanized line on Bradford Street in the project.,2110001,"$8,582,753",1299245,1248294,,71583,3391,80,Lead Service Line Replacement
200,DWSRF,2024,South Carolina,Florence,34.18366437,-79.77392906,Florence,Service Line Replacement in NW E  and Downtown Florence for Lead and Copper Rule2,2110001-07,The City of Florence is requesting funding for the replacement of service lines on private property as well as the City's side as part of the lead and copper rule.  The service lines on private property would be replaced up to the foundation of the house.  In addition the City is proposing to add the replacement of the cast iron lines on Roosevelt Street and Dickman Street.,2110001,"$6,974,476",3490118,3353249,,71583,2760,80,Lead Service Line Replacement
